alpha,N,True_N,converged,loglik,conv
5.0,81,27,False,11.26824017877136,no
5.0,82,27,False,11.268715578740665,no
5.0,83,27,False,11.265318560481457,no
5.0,84,27,False,11.26007941376518,no
5.0,85,30,True,11.190612362688313,yes
5.0,86,30,False,11.269071844208113,no
5.0,87,30,True,11.190287010641093,yes
5.0,88,28,False,10.995356896734593,no
5.0,89,28,False,10.995356789793028,no
5.0,90,27,False,11.071304715912355,no
5.0,91,28,False,11.073257419102363,no
5.0,92,31,True,11.258875336270806,yes
5.0,93,31,False,11.258875336411709,no
5.0,94,29,False,11.069175354411511,no
5.0,95,26,False,11.06609352928021,no
5.0,96,26,False,11.066093833701725,no
5.0,97,26,False,11.065901385186415,no
5.0,98,26,False,11.063703066379915,no
5.0,99,26,False,11.063703066616608,no
5.0,100,28,False,11.064159753979066,no
10.0,2,2,True,-3.5747178490398186,yes
10.0,3,3,True,1.4864949670968004,yes
10.0,4,4,True,3.323816947963067,yes
10.0,5,5,True,4.440379247032195,yes
10.0,6,6,True,7.1873936394718045,yes
10.0,7,7,True,7.213041434297031,yes
10.0,8,8,True,8.185698250061664,yes
10.0,9,9,True,8.560741031140292,yes
10.0,10,10,True,8.639227855880142,yes
10.0,11,11,True,9.499930353959268,yes
10.0,12,11,True,9.499872871351752,yes
10.0,13,12,True,9.413757867167334,yes
10.0,14,13,True,9.51629221593475,yes
10.0,15,13,True,9.415917497810629,yes
10.0,16,13,True,9.516184006392644,yes
10.0,17,14,True,9.51936404375843,yes
10.0,18,15,True,9.516614263036322,yes
10.0,19,15,True,9.516614263862808,yes
10.0,20,16,False,9.396175841826981,no
10.0,21,17,True,10.609832533345033,yes
10.0,22,17,True,10.6131513600236,yes
10.0,23,18,True,11.158982200687994,yes
10.0,24,19,True,11.135453488372555,yes
10.0,25,18,True,11.131778545067073,yes
10.0,26,18,True,11.131778545663662,yes
10.0,27,20,False,11.148483399581162,no
10.0,28,21,True,11.00346661400356,yes
10.0,29,21,True,11.00316745717386,yes
10.0,30,22,True,11.002959310219742,yes
10.0,31,22,True,11.003503916027473,yes
10.0,32,21,False,11.028607771243665,no
10.0,33,21,False,11.226208333569074,no
10.0,34,21,True,11.22614680129083,yes
10.0,35,22,False,11.231431281866717,no
10.0,36,22,False,11.399527553960345,no
10.0,37,23,False,11.37596046699008,no
10.0,38,23,False,11.37955215388026,no
10.0,39,24,False,11.346787394261261,no
10.0,40,25,False,11.226545851895766,no
10.0,41,25,False,11.233004875533085,no
10.0,42,25,False,11.2347209733984,no
10.0,43,25,False,11.228087245458145,no
10.0,44,26,True,11.174935772753237,yes
10.0,45,26,True,10.987447544294485,yes
10.0,46,25,False,11.0201696282213,no
10.0,47,25,True,11.020172130140134,yes
10.0,48,26,False,11.015939288798279,no
10.0,49,26,False,11.01594535131276,no
10.0,50,24,False,11.012611537696744,no
10.0,51,25,True,11.01818219157738,yes
10.0,52,24,True,11.012844531156437,yes
10.0,53,26,False,11.00715227054739,no
10.0,54,28,False,11.20096561922037,no
10.0,55,24,True,11.287376393300898,yes
10.0,56,24,False,11.288448992931825,no
10.0,57,25,True,11.264926132440984,yes
10.0,58,24,False,11.288357969346098,no
10.0,59,25,False,11.295609885683891,no
10.0,60,26,False,11.294813505221294,no
10.0,61,27,False,11.366727314239684,no
10.0,62,27,True,11.36666899576173,yes
10.0,63,28,False,11.343180224771885,no
10.0,64,26,False,11.341569723667506,no
10.0,65,26,False,11.267633815061751,no
10.0,66,25,False,11.295261919159332,no
10.0,67,28,False,11.270259705472908,no
10.0,68,27,False,11.293748227709528,no
10.0,69,27,True,11.372817508231984,yes
10.0,70,26,False,11.372186425706884,no
10.0,71,26,False,11.292961936440934,no
10.0,72,26,True,11.292957615850723,yes
10.0,73,26,False,11.29295775024604,no
10.0,74,26,False,11.292997959875459,no
10.0,75,25,False,11.287127485944314,no
10.0,76,25,False,11.287129062448384,no
10.0,77,25,False,11.28712906241611,no
10.0,78,25,False,11.287129061942105,no
10.0,79,25,True,11.291337656133091,yes
10.0,80,26,False,11.291463867022866,no
10.0,81,27,False,11.267975772172313,no
10.0,82,27,False,11.268478789902003,no
10.0,83,27,True,11.26508329938192,yes
10.0,84,27,False,11.25984429606753,no
10.0,85,30,True,11.190397120351015,yes
10.0,86,30,False,11.26889046339807,no
10.0,87,31,False,11.190138753721778,no
10.0,88,28,True,10.995084709213234,yes
10.0,89,28,False,10.995084585142871,no
10.0,90,27,False,11.071032464652967,no
10.0,91,28,False,11.072988851469773,no
10.0,92,31,False,11.258646111313526,no
10.0,93,31,False,11.258646109920354,no
10.0,94,29,False,11.06894524559859,no
10.0,95,26,False,11.065863646324889,no
10.0,96,26,False,11.065863966608944,no
10.0,97,26,True,11.065634885543776,yes
10.0,98,26,False,11.06343415453685,no
10.0,99,26,True,11.06343415212866,yes
10.0,100,28,False,11.063359695554569,no
100.0,2,2,True,-3.579671642665149,yes
100.0,3,3,True,1.481542296514822,yes
100.0,4,4,True,3.318865002414742,yes
100.0,5,5,True,4.435432073727955,yes
100.0,6,6,True,7.182443053997373,yes
100.0,7,7,True,7.208093412553844,yes
100.0,8,8,True,8.180762706717498,yes
100.0,9,9,True,8.555817057049284,yes
100.0,10,10,True,8.634295019573475,yes
