state,datetime,bagasse,batterys,blackcoal,browncoal,diesel,gas,hydro,kerosene,solar,solar_rooftop,wind,demand,rrp,year,net_import,export
QLD1,2017-09-01,0.5430300240065236,0.0,85.43316444692779,0.0,0.00029016834598471315,8.703416612918106,0.6715395143408919,0.0,0.10084304710234636,4.547716186358353,0.0,153351.3905,91.75395833333332,2017,0.0,21259.8907364996
QLD1,2017-09-02,0.6228887635552326,0.0,87.10221939252035,0.0,0.0003334423073194249,6.798022284852309,0.5953079060647571,0.0,0.11040242644138144,4.7708257842586566,0.0,145256.40049999993,84.20250000000001,2017,0.0,20289.478916916705
QLD1,2017-09-03,0.8446703754303756,0.0,87.63408753908564,0.0,0.0003777253463094055,5.795339747325473,0.6094674382168894,0.0,0.11300041132124207,5.0030567632740635,0.0,141853.29549999992,75.43499999999997,2017,0.0,18404.240629833334
QLD1,2017-09-04,1.269599890491272,0.0,86.25403036182857,0.0,0.00037424520562599046,6.747416101282407,0.7134686428689825,0.0,0.11417277214107788,4.900937986182037,0.0,153860.3485,88.65875000000004,2017,0.0,12875.254420083103
QLD1,2017-09-05,0.8148048280770077,0.0,86.63722234593003,0.0,0.0002927909004712577,6.249788141077497,1.1478311002685018,0.0,0.11625380925162165,5.033806984494871,0.0,153701.81900000002,81.16229166666666,2017,0.0,21167.003485916444
QLD1,2017-09-06,0.9472566962265542,0.0,84.61634398985653,0.0,0.0004090612918084571,8.217765745505288,0.8478411464715605,0.0,0.11362545819996668,5.2567579024483,0.0,153390.37999999995,85.74520833333334,2017,0.0,19362.867696084344
QLD1,2017-09-07,0.7297769814416653,0.0,85.66002252869356,0.0,0.00039029704747747844,7.787861729139144,0.5480060100126645,0.0,0.10607840721433856,5.167864046451153,0.0,153365.36299999992,80.01437500000003,2017,0.0,20177.669854333333
QLD1,2017-09-08,1.214851756885262,0.0,86.05234831244951,0.0,0.00032977801846661737,6.957621009281023,0.5058115876599271,0.0,0.10874755566633036,5.160290000039477,0.0,153069.3595,80.23312499999999,2017,0.0,21593.585798249725
QLD1,2017-09-09,1.268864300005412,0.0,87.29466705571366,0.0,0.0004862506788969001,5.556817983819318,0.5316923745228034,0.0,0.0628876211005049,5.28458441415941,0.0,143975.72900000002,74.46749999999999,2017,0.0,22193.704805833233
QLD1,2017-09-10,1.2866750767596948,0.0,87.15166749469482,0.0,0.0003795108427139445,5.6858582923339736,0.5965851655719416,0.0,0.1215570093990977,5.157277450397722,0.0,142214.318,76.58874999999998,2017,0.0,22207.86175583329
QLD1,2017-09-11,1.1003529865924362,0.0,87.52055793701052,0.0,0.00042155280634423883,5.665614907664126,0.5720180932009353,0.0,0.11043724243826314,5.03059728028737,0.0,154389.902,86.1925,2017,0.0,15774.623662666418
QLD1,2017-09-12,1.1661577010114468,0.0,87.76172437225655,0.0,0.00044251554721276863,5.4600615285273095,0.5645244735497376,0.0,0.11306606687518254,4.934023342232539,0.0,155012.61750000002,85.61208333333336,2017,0.0,14924.914579166796
QLD1,2017-09-13,1.2710633544246124,0.0,88.1025006898938,0.0,0.00044443238118249434,4.952715934029148,0.5209363966859406,0.0,0.1059337487798072,5.046405443805501,0.0,155068.25349999993,86.77604166666669,2017,0.0,11136.25767925012
QLD1,2017-09-14,1.176572884649846,0.0,87.36291934467535,0.0,0.00029185870837387766,6.022601426122536,0.5636216040001117,0.0,0.11644444644203253,4.757548435401729,0.0,153324.0855,85.08208333333333,2017,0.0,13880.108172666109
QLD1,2017-09-15,1.1645274340473983,0.0,88.52486017060683,0.0,0.00044597951804689883,3.884266873227472,0.8201829450695166,0.0,0.12156150969150145,5.48415508783922,0.0,152319.55950000006,83.76312500000002,2017,0.0,13906.310374000488
QLD1,2017-09-16,1.10136848230923,0.0,87.74777827470189,0.0,0.0005453971124627073,4.881055352172376,0.5411162364786254,0.0,0.1108963919368423,5.61723986528857,0.0,144222.99949999998,78.66437499999998,2017,0.0,18594.14413874969
QLD1,2017-09-17,1.1231008853890043,0.0,87.77672030460566,0.0,0.0004975981012402826,5.670910577097639,0.5387491777665793,0.0,0.11883940361547618,4.771182053424414,0.0,141526.95150000005,73.40479166666667,2017,0.0,21388.997062916023
QLD1,2017-09-18,1.1042345390498631,0.0,86.6877543760943,0.0,0.00034813892135833815,6.632843932034381,0.5651918398075716,0.0,0.11548991957286918,4.894137254519664,0.0,151399.40750000006,77.27229166666667,2017,0.0,16349.719119166664
QLD1,2017-09-19,0.9251192733828496,0.0,86.9950990745549,0.0,0.0003219684586108687,6.748458143788827,0.5768749513557454,0.0,0.10285926278191806,4.651267325677153,0.0,152116.12649999995,79.28187499999997,2017,0.0,16844.523355916084
QLD1,2017-09-20,1.045133699693085,0.0,86.83353758896892,0.0,0.000267866262619663,6.302174409347477,0.5867935515287988,0.0,0.1054233935359284,5.126669490663163,0.0,151929.77500000002,75.92,2017,0.0,18304.42901674981
